--- The following is a list of skipped games ---
'Earthbound Zero (Sub Esp)', No returned matches
'10 Yard Fight 2', No returned matches
'Earthbound Beginnings', No returned matches
'10 Yard Fight', No returned matches
'1942', No returned matches
'1943', No returned matches
'2-in-1 Super Mario Bros - Duck Hunt', No returned matches
'3-in-1 Super Mario Bros - Duck Hunt - World Class Track Meet', No returned matches
'3-D Battles of World Runner, The', No returned matches
'2-in-1 Super Spike V'Ball - World Cup Soccer', No returned matches
'720°', No returned matches
'8 Eyes', No returned matches
'Galaxy 5000', No returned matches
'Genghis Khan', No returned matches
'Gargoyle's Quest II', No returned matches
'Gemfire', No returned matches
'George Foreman's KO Boxing', No returned matches
'Ghosts 'N Goblins', No returned matches
'Gold Medal Challenge '92', No returned matches
'Ghoul School', No returned matches
'Golf', No returned matches
'Golf Grand Slam', No returned matches
'Goal! Two', No returned matches
'Goonies, The', No returned matches
'Golgo 13 - Top Secret Episode', No returned matches
'Goonies II, The', No returned matches
'Goal!', No returned matches
'Gotcha!', No returned matches
'Greg Norman's Golf Power', No returned matches
'Great Waldo Search, The', No returned matches
'Gumshoe', No returned matches
'Guerrilla War', No returned matches
'Gremlins 2 - The New Batch', No returned matches
'Gun Nac', No returned matches
'Gyromite', No returned matches
'Gunsmoke', No returned matches
'Gyruss', No returned matches
'Guardian Legend, The', No returned matches
'Galaga - Demons of Death', No returned matches
'Galaga', No returned matches
'Godzilla 2 - War of the Monsters', No returned matches
'Godzilla', No returned matches
'Ghostbusters', No returned matches
'Gradius', No returned matches
'Ghostbusters II', No returned matches
'Gradius II', No returned matches
'Gauntlet', No returned matches
'Gauntlet II', No returned matches
'G.I. Joe - The Atlantis Factor', No returned matches
'G.I. Joe', No returned matches
'NES Play Action Football', No returned matches
'Nintendo World Cup', No returned matches
'Nintendo World Championships 1990', No returned matches
'Ninja Gaiden', No returned matches
'Ninja Gaiden III - The Ancient Ship of Doom', No returned matches
'Ninja Gaiden II - The Dark Sword of Chaos', No returned matches
