--- The following is a list of skipped games ---
'Super Robot Taisen - Original Generation 2', No returned matches
'Super Robot Taisen - Original Generation', No returned matches
'Summon Night - Swordcraft Story 2', No returned matches
'Superman Returns - Fortress of Solitude', No returned matches
'Sword of Mana', No returned matches
'Sonic Advance', No returned matches
'Surf's Up', No returned matches
'Super Mario Advance 2 - Super Mario World', No returned matches
'Sonic Advance 2', No returned matches
'Sonic Advance 3', No returned matches
'Super Mario Advance 4 - Super Mario Bros. 3', No returned matches
'Super Mario Advance', No returned matches
'Super Mario Advance 3 - Yoshi's Island', No returned matches
'WWF - Road to Wrestlemania', No returned matches
'Super Mario Advance 2 - Super Mario World (Color Restoration)', No returned matches
'Wade Hixton's Counter Punch', No returned matches
'WTA Tour Tennis', No returned matches
'Whac a Mole', No returned matches
'Wakeboarding Unleashed', No returned matches
'Wing Commander Prophecy', No returned matches
'Wings', No returned matches
'Wild', No returned matches
'Winnie the Pooh's Rumbly Tumbly Adventure', No returned matches
'Woody Woodpecker in Crazy Castle 5', No returned matches
'Winning Eleven - World Soccer', No returned matches
'World Championship Poker', No returned matches
'Winter Sports', No returned matches
'World Tennis Stars', No returned matches
'Witch', No returned matches
'World Poker Tour', No returned matches
'Word Safari - the Friendship Totems', No returned matches
'Wild Thornberrys - Chimp Chase', No returned matches
'Wild Thornberrys - the Movie', No returned matches
'Worms - World Party 2', No returned matches
'Wario-Land 4', No returned matches
'Wario Ware Inc.', No returned matches
'Wario Ware - Twisted!', No returned matches
'Worms - World Party', No returned matches
'Worms Blast', No returned matches
'Who Wants to Be a Millionaire - Junior Edition', No returned matches
'Who wants to be a Millionaire - 2nd Edition', No returned matches
'Who wants to be a Millionaire', No returned matches
'WWE - Road to Wrestlemania X8', No returned matches
'WinX Club - Quest for the Codex', No returned matches
'WWE Survivor Series', No returned matches
'Ace Combat Advance', No returned matches
'Wolfenstein 3D 2', No returned matches
'Wolfenstein 3D', No returned matches
'Action Man - Robotatak', No returned matches
'Ace Lightning', No returned matches
'Activision Anthology', No returned matches
'Aero the Acrobat - Rascal Rival Revenge', No returned matches
'Agressive Inline', No returned matches
'WinX Club', No returned matches
'Agassi Tennis Generation', No returned matches
'Aladdin', No returned matches
'Alex Rider - Stormbreaker', No returned matches
'Airforce Delta Storm', No returned matches
'Amazing Virtual Sea Monkeys', No returned matches
'Alienators - Evolution Continues', No returned matches
'American Bass Challenge', No returned matches
'An American Tail - Fievel's Gold Rush', No returned matches
'American Dragon Jake Long - Rise of the Huntsclan', No returned matches
'Altered Beast - Guardian of the Realms', No returned matches
'Animal Snap - Rescue them 2 by 2', No returned matches
'Another World (Prototype)', No returned matches
'Animaniacs - Light Camera Action', No returned matches
'Ant Bully', No returned matches
'Antz - Extreme Racing', No returned matches
'Arctic Tale', No returned matches
'Around the World in 80 Days', No returned matches
'Atari Anniversary Advance', No returned matches
'Ariel - the Little Mermaid - Magic in Two Kingdoms', No returned matches
'Atlantis - the Lost Empire', No returned matches
'Atomic Betty', No returned matches
'Astroboy - Omega Factor', No returned matches
'Army Men Advance', No returned matches
'American Idols', No returned matches
'Army Men - Operation Green', No returned matches
'Army Men Advance 2 - Turf Wars', No returned matches
'All-Star Baseball 2003 feat. Derek Jeter', No returned matches
'All-Star Baseball 2004 feat. Derek Jeter', No returned matches
'Avatar - the Burning Earth', No returned matches
'Avatar - the Legend of Aang', No returned matches
'Avatar - the Last Airbender', No returned matches
'Arthur and the Minimoys', No returned matches
'Advance Guardian Heroes', No returned matches
'Advance Wars (E)(Arrogance)', No returned matches
'Advance Wars 2 - Black Hole Rising (E)(Surplus)', No returned matches
'Advanced Wars ', No returned matches
'Advanced Wars 2 - Black Hole Rising', No returned matches
'Alien Hominid 2', No returned matches
'Arthur and the Minimoys  2', No returned matches
'Arthur and the Invisibles', No returned matches
'Alien Hominid', No returned matches
'ATV - Thunder Ridge Riders', No returned matches
'Alien Hominid [E]', No returned matches
'Asterix and Obelix XXL', No returned matches
'Asterix and Obelix - Paf them All', No returned matches
'ATV - Quad Power Racing', No returned matches
'Kao the Kangaroo', No returned matches
'Karnaaj Rally', No returned matches
'Kid's Cards', No returned matches
'Kao The Kangaroo [E]', No returned matches
'Kelly Slater's Pro Surfer', No returned matches
'Kien - Discover the Secret of Kien', No returned matches
'Kid Paddle', No returned matches
'Kim Possible 3 - Team Possible', No returned matches
'Kim Possible 2 - Drakken's Demise', No returned matches
