--- The following is a list of skipped games ---
'samurai', No returned matches
'saturn', No returned matches
'sauro', No returned matches
'sbagman', No returned matches
'sbagmans', No returned matches
'sbasebal', No returned matches
'sbbros', No returned matches
'sboblbob', No returned matches
'sbrkout', No returned matches
'scandal', No returned matches
'scandalm', No returned matches
'schaser', No returned matches
'schasrcv', No returned matches
'scionc', No returned matches
'scobras', No returned matches
'scontra', No returned matches
'scontraj', No returned matches
'scramblb', No returned matches
'scrambls', No returned matches
'scregg', No returned matches
'screwloo', No returned matches
'sctionza', No returned matches
'scudhamm', No returned matches
'sdioj', No returned matches
'sdungeon', No returned matches
'searchar', No returned matches
'seawolf', No returned matches
'secolove', No returned matches
'secretag', No returned matches
'sectionz', No returned matches
'sectrzon', No returned matches
'seganinj', No returned matches
'seganinu', No returned matches
'seicross', No returned matches
'seiha', No returned matches
'seiham', No returned matches
'selfeena', No returned matches
'senjyo', No returned matches
'sentetst', No returned matches
'sercharu', No returned matches
'sf1', No returned matches
'sf1jp', No returned matches
'sf1us', No returned matches
'SXEVIOUS', No returned matches
'sf2', No returned matches
'sf2a', No returned matches
'sf2accp2', No returned matches
'sf2b', No returned matches
'sf2ce', No returned matches
'sf2cea', No returned matches
'sf2ceb', No returned matches
'sf2cej', No returned matches
'sf2e', No returned matches
'sf2i', No returned matches
'sf2j', No returned matches
'sf2jb', No returned matches
'sf2rb', No returned matches
'sf2red', No returned matches
'sf2t', No returned matches
'sf2tj', No returned matches
'sfootbal', No returned matches
'sformula', No returned matches
'shackled', No returned matches
'shadowld', No returned matches
'shadoww', No returned matches
'shangha3', No returned matches
'shanghai', No returned matches
'shangon', No returned matches
'shangonb', No returned matches
'sharkatt', No returned matches
'sharrier', No returned matches
'shdancbl', No returned matches
'shdancer', No returned matches
'shdancrj', No returned matches
'sheriff', No returned matches
'shimpact', No returned matches
'shinobia', No returned matches
'shinobib', No returned matches
'shinobl', No returned matches
'shippumd', No returned matches
'shisen', No returned matches
'shollow2', No returned matches
'shocktrj', No returned matches
'shootoub', No returned matches
'SUPERQIX', No returned matches
'shootouj', No returned matches
'showdown', No returned matches
'shuuz', No returned matches
'shtngmst', No returned matches
'shuffle', No returned matches
'shuuz2', No returned matches
'sichuana', No returned matches
'sia2650', No returned matches
'sichuan2', No returned matches
'sicv', No returned matches
'sidearmr', No returned matches
'sidearms', No returned matches
'sidepckt', No returned matches
'silentd', No returned matches
'sidepctb', No returned matches
'sidepctj', No returned matches
'silkwrm2', No returned matches
'simpsons', No returned matches
'simps2pj', No returned matches
'simpsn2p', No returned matches
'sindbadm', No returned matches
'sinvemag', No returned matches
'sinista2', No returned matches
'sinista1', No returned matches
'sinvzen', No returned matches
'sitv', No returned matches
'sisv', No returned matches
'sisv2', No returned matches
'skingam2', No returned matches
'skullxb2', No returned matches
'skingame', No returned matches
'skullxbo', No returned matches
'skychut', No returned matches
'skyadvnu', No returned matches
'skyadvnt', No returned matches
'skydiver', No returned matches
'skykiddo', No returned matches
'skyfox', No returned matches
'skykid', No returned matches
'skykiddx', No returned matches
'skysoldr', No returned matches
'skyshark', No returned matches
'skylancr', No returned matches
'skywolf', No returned matches
'slammasu', No returned matches
'slammast', No returned matches
'skywolf2', No returned matches
'slapbtjp', No returned matches
'slyspy', No returned matches
'slapfigh', No returned matches
'slapbtuk', No returned matches
'slyspy2', No returned matches
'smashtv4', No returned matches
'smashtv', No returned matches
'smashtv5', No returned matches
'snakepit', No returned matches
'smashtv6', No returned matches
'smooncrs', No returned matches
'snakjack', No returned matches
'snowbroa', No returned matches
'snowbro2', No returned matches
'sngkace', No returned matches
'snowbrob', No returned matches
'snowbros', No returned matches
'snowbroj', No returned matches
'soccer', No returned matches
'solarq', No returned matches
'solarwar', No returned matches
'soldamj', No returned matches
'solfight', No returned matches
'solfigtr', No returned matches
'sonicwi', No returned matches
'sos', No returned matches
'sonson', No returned matches
'sonofphx', No returned matches
'soukobdx', No returned matches
'spacbatt', No returned matches
'spacebrd', No returned matches
'spacbeam', No returned matches
'spacedx', No returned matches
'spacedem', No returned matches
'spacefbb', No returned matches
'spacefbg', No returned matches
'spacewar', No returned matches
'spaceint', No returned matches
'spaceinv', No returned matches
'spacewr3', No returned matches
'sparkz', No returned matches
'spang', No returned matches
'spartanx', No returned matches
'spcewars', No returned matches
'spceking', No returned matches
'spcewarl', No returned matches
'spclaser', No returned matches
'spdcoin', No returned matches
'spdodgeb', No returned matches
'speakres', No returned matches
'speedfrk', No returned matches
'spectar1', No returned matches
'speedbal', No returned matches
'spelunk2', No returned matches
'spiker', No returned matches
'spelunkr', No returned matches
'spiders2', No returned matches
'spinlbrj', No returned matches
'splash', No returned matches
'spinlbrk', No returned matches
'spinlbru', No returned matches
'splatter', No returned matches
'spnchotj', No returned matches
'spnchout', No returned matches
'spool3', No returned matches
'sprint1', No returned matches
'springer', No returned matches
'spool3i', No returned matches
'sprint2', No returned matches
'spyhunt2', No returned matches
'spyhnt2a', No returned matches
'spy', No returned matches
'sqbert', No returned matches
'srdmissn', No returned matches
'srdarwin', No returned matches
'srumbler', No returned matches
'sspacat2', No returned matches
'ssozumo', No returned matches
'srumblr2', No returned matches
'sspacatc', No returned matches
'ssrdrebc', No returned matches
'ssprint', No returned matches
'ssrdrabd', No returned matches
'ssrdrebd', No returned matches
'ssrdrubc', No returned matches
'ssrdrjbd', No returned matches
'ssrdruac', No returned matches
'ssrdruda', No returned matches
'stadhero', No returned matches
'ssriders', No returned matches
'sstingry', No returned matches
'starcas', No returned matches
'starcas1', No returned matches
'starcrus', No returned matches
'starforc', No returned matches
'starjack', No returned matches
'starfore', No returned matches
'starhawk', No returned matches
'starjacs', No returned matches
'stdragon', No returned matches
'starw', No returned matches
'starwar1', No returned matches
'stfight', No returned matches
'stoneage', No returned matches
'stkclmns', No returned matches
'stocker', No returned matches
'storming', No returned matches
'stratvxb', No returned matches
'strahl', No returned matches
'stratgys', No returned matches
'streakng', No returned matches
'streetf', No returned matches
'streets1', No returned matches
'streetsj', No returned matches
'striderj', No returned matches
'streetsw', No returned matches
'streetsm', No returned matches
'stridrja', No returned matches
'stunrnp', No returned matches
'strkzone', No returned matches
'strkforc', No returned matches
'stunrun', No returned matches
'sundance', No returned matches
'subs', No returned matches
'sucasino', No returned matches
'supbtime', No returned matches
'superpcm', No returned matches
'superinv', No returned matches
'supbtimj', No returned matches
'suprloco', No returned matches
'suprmous', No returned matches
'suprmou2', No returned matches
'surpratk', No returned matches
'svolly91', No returned matches
'svolleyk', No returned matches
'svolley', No returned matches
'swarm', No returned matches
'sws92', No returned matches
'swat', No returned matches
'swimmer', No returned matches
'sws93', No returned matches
'WARLORD', No returned matches
'WAROFBUG', No returned matches
'WACKO', No returned matches
'WARPWARP', No returned matches
'WATERSKI', No returned matches
'WBDELUXE', No returned matches
'WC90B', No returned matches
'WB3BL', No returned matches
'WC90', No returned matches
'WIZ', No returned matches
'WILLOW', No returned matches
'WIZOFWOR', No returned matches
'WOW', No returned matches
'wanted', No returned matches
'wardner', No returned matches
'wardnerj', No returned matches
'warpwar2', No returned matches
'warpwarr', No returned matches
'warrior', No returned matches
'wb3', No returned matches
'wb3a', No returned matches
'wbeachvl', No returned matches
'wbml', No returned matches
'wbmlj', No returned matches
'wbmlj2', No returned matches
'wbmlju', No returned matches
'wboy', No returned matches
'wboy2', No returned matches
'wboy3', No returned matches
'wboy4', No returned matches
'wboy4u', No returned matches
'wboyu', No returned matches
'wecleman', No returned matches
'weststry', No returned matches
'wexpresb', No returned matches
'wexpress', No returned matches
'whodunit', No returned matches
'whoopee', No returned matches
