--- The following is a list of skipped games ---
'NBA In The Zone', No returned matches
'NBA Jam '99', No returned matches
'NBA Hoopz', No returned matches
'NBA Showtime - NBA on NBC', No returned matches
'NBA Jam 2001', No returned matches
'NASCAR 2000', No returned matches
'NASCAR Heat', No returned matches
'NASCAR Racers', No returned matches
'NHL 2000', No returned matches
'NASCAR Challenge', No returned matches
'NBA In The Zone 2000', No returned matches
'NHL Blades of Steel', No returned matches
'NHL Blades of Steel 2000', No returned matches
